Item.Number,tol_profit,botl_profit,State.Bottle.Cost
989504,0.0023665199999999996,15.169999999999998,30.34
901915,0.002365,11,22
14493,0.00236425,2.45,4.89
915640,0.0023611500000000002,17.490000000000002,34.98
100100,0.002361,7.869999999999999,15.74
927156,0.00235125,13.75,27.5
46057,0.00234,7.5,15
922254,0.0023392799999999996,32.489999999999995,64.97
964435,0.0023265,5.17,10.34
942950,0.002325,7.75,15.5
73059,0.002324,4,8
89006,0.0023212799999999994,12.089999999999996,24.17
40229,0.0023205,3.25,6.5
926930,0.0023176800000000008,13.320000000000004,26.63
942162,0.0023173200000000008,4.710000000000001,9.42
43894,0.0023125,6.25,12.5
43529,0.00231,11,22
39952,0.00230825,1.75,3.5
73854,0.002305,5,10
36880,0.0022961400000000003,5.390000000000001,10.77
75216,0.002295,5,10
903707,0.0022949999999999997,7.499999999999998,14.99
976641,0.0022947600000000003,7.355,14.7
937599,0.00229401,3.59,7.17
77824,0.002292,3,6
35245,0.0022914000000000003,6.700000000000001,13.4
26546,0.00229125,9.75,19.5
27898,0.002285,5,10
56797,0.00228137,1.6099999999999999,3.22
39556,0.0022772260000000007,2.4460000000000006,4.882
926438,0.002272,16,32
915723,0.00226974,39.82000000000001,79.63
27182,0.002268,9.45,18.89
27829,0.002268,7,14
64923,0.0022559200000000002,13.04,26.08
101121,0.002255,5,10
101123,0.002255,5,10
86483,0.0022501800000000005,4.630000000000001,9.25
101564,0.0022500000000000007,12.500000000000004,24.99
926592,0.0022500000000000003,12.500000000000004,24.99
910862,0.00225,37.5,75
101084,0.00225,15,30
922044,0.00225,12.5,25
101106,0.00225,5,10
39892,0.0022467200000000002,4.130000000000001,8.25
903835,0.0022439999999999995,3.3999999999999995,6.79
78014,0.002242447058823529,8.494117647058822,16.988235294117647
15179,0.00224,10,20
3345,0.0022334157303370785,4.595505617977528,9.191011235955056
87615,0.002226,3.5,7
72981,0.0022253,7.699999999999999,15.39
42723,0.00222375,3.75,7.49
100027,0.0022194999999999993,5.749999999999998,11.49
64559,0.00221925,8.25,16.5
39864,0.00221816,2.38,4.75
100727,0.002211574468085106,7.371914893617019,14.735957446808511
980518,0.002210760000000001,5.340000000000002,10.67
100673,0.00221,5,9.99
980383,0.0022086757894736833,3.6089473684210516,7.208947368421053
550,0.002208,3.6799999999999997,7.35
67192,0.0022063299999999994,7.329999999999998,14.66
916002,0.0022049999999999995,26.249999999999993,52.49
913647,0.0022025,2.5,5
14515,0.002201100000000001,2.3000000000000007,4.6
66993,0.0022,10,20
88375,0.00219936,9.48,18.95
48690,0.002196,3,5.99
15505,0.0021852599999999996,8.469999999999999,16.93
86502,0.0021845270000000003,3.2702500000000008,6.5405
73807,0.0021805056,3.2447999999999997,6.4824
17215,0.0021725000000000004,17.380000000000003,34.76
921600,0.002166,19,38
58744,0.0021645,4.5,9
916674,0.00216,36,72
927099,0.00216,15,30
73596,0.0021578400000000007,3.240000000000001,6.47
965121,0.002154600000000001,11.340000000000003,22.68
43685,0.0021534999999999996,2.9499999999999993,5.9
71446,0.00214644,5.77,11.54
88458,0.002142275423728814,11.216101694915256,22.43220338983051
100978,0.0021419999999999994,6.999999999999998,13.99
904522,0.00214002,32.42454545454545,64.84818181818181
100298,0.002129049999999999,3.8499999999999988,7.69
927372,0.0021275,5.75,11.5
100858,0.0021270000000000004,7.090000000000002,14.17
51714,0.00212625,8.75,17.5
904795,0.002126,10.629999999999999,21.25
37097,0.0021233299999999997,1.9899999999999998,3.97
75920,0.002120970297029703,3.5349504950495048,7.065049504950495
927255,0.0021203999999999997,1.5499999999999998,3.09
987163,0.002115,15,30
100794,0.002115,2.5,5
43539,0.002112,8.25,16.49
66665,0.0021086399999999993,15.279999999999998,30.55
917184,0.0021050400000000007,25.06000000000001,50.12
942393,0.00210396923076923,7.623076923076921,15.246153846153847
100808,0.00210372,7.459999999999999,14.92
4251,0.0021,35,69.99
904407,0.0021,25,50
951036,0.0021,8.75,17.5
941940,0.0021,3.5,7
902985,0.0020991599999999992,8.329999999999998,16.66
989215,0.0020985081081081086,1.6394594594594598,3.2756756756756755
6296,0.002096,16,32
56791,0.00209524,0.98,1.96
43536,0.0020925,3.75,7.49
914206,0.00209,47.5,95
77870,0.0020856500000000005,4.130000000000001,8.25
74737,0.0020825,1.25,2.5
25257,0.0020815,5.75,11.5
26652,0.0020805,9.5,19
994876,0.00208,20,40
943592,0.002079108571428571,13.327619047619049,26.655238095238094
944492,0.002079,5.5,11
26543,0.00207792,14.43,28.85
69603,0.002075,2.5,5
31991,0.0020748000000000003,4.550000000000001,9.09
966136,0.0020743199999999997,3.869999999999999,7.74
903369,0.002074206315789474,10.475789473684213,20.951052631578946
988482,0.0020724000000000007,15.700000000000003,31.4
28005,0.0020655,4.5,9
100760,0.002065,5,10
100416,0.00206107,4.51,9.01
987209,0.00206064,7.154999999999999,14.309
36707,0.0020592,8.580000000000002,17.15
934349,0.0020592,6.600000000000001,13.2
980374,0.00205625,6.25,12.5
72978,0.0020559,7.699999999999999,15.39
88464,0.0020541,10.02,20.03
937383,0.002052,9.5,19
73206,0.002048,8,16
87714,0.0020475,32.5,65
26700,0.0020475,7.5,15
73851,0.002046,3,6
100051,0.0020445000000000003,11.750000000000004,23.49
994682,0.00203898,19.990000000000002,39.97
15557,0.00203796,3.33,6.65
933757,0.00203668125,8.9328125,17.8603125
43226,0.00203625,3.75,7.49
64769,0.0020339399999999997,9.329999999999998,18.66
902284,0.0020330400000000003,3.9400000000000004,7.87
926491,0.0020267999999999996,5.629999999999999,11.25
37215,0.00202,5,10
37141,0.0020195,3.5,7
989457,0.0020165039999999997,8.001999999999999,16.004
926405,0.002016,10.5,21
100667,0.0020131199999999993,6.989999999999998,13.98
984145,0.002013,3,6
