Item.Number,Category,Vendor,Pack,Bottle.Volume..ml.,State.Bottle.Retail,County,Store,City,Bottles.Sold,Popularity,Covid_index,PopularityC
88584,1022100,1,12,1000,11.15,9,12,9,92,FALSE,NA,0
88585,1022300,1,6,750,27.51,16,24,21,113,FALSE,NA,0
88589,1022200,1,6,750,35.51,11,16,13,41,FALSE,NA,0
88592,1022200,1,12,750,19.1,12,15,14,41,FALSE,NA,0
88594,1022200,1,6,750,33,10,12,12,25,FALSE,NA,0
88602,1022200,2,6,750,18.72,58,122,71,7332,FALSE,0.08122266083431129,1
88612,1022200,1,12,1000,9,6,6,6,264,FALSE,NA,0
88613,1022100,1,6,1750,16.13,8,12,8,106,FALSE,NA,0
88633,1022200,1,6,750,35.51,6,8,6,58,FALSE,NA,0
88652,1022200,1,6,750,52.5,19,50,29,322,FALSE,NA,0
88654,1022200,1,6,750,14.96,3,4,3,17,FALSE,NA,0
88659,1022200,1,6,750,18.51,78,378,114,14598,FALSE,0.18119598847754187,1
88668,1022200,1,6,750,40.5,19,45,27,301,FALSE,NA,0
88741,1022200,2,6,750,104.48055979643766,51,187,77,3015,FALSE,0.044228101995092285,1
88766,1022100,1,12,750,9.3,92,286,148,20160,FALSE,0.28938973647711513,1
88767,1022100,1,12,1000,9.96,81,238,137,76655,TRUE,-0.31657420249653256,0
88768,1022100,1,6,1750,18.96,74,171,99,15966,FALSE,0.1449855969273445,1
88827,1022200,1,4,750,74.96,16,51,30,260,FALSE,NA,0
88833,1022200,2,6,750,46.5,53,226,76,5706,FALSE,0.549855969273445,1
88836,1022300,1,6,750,97.44,12,22,15,87,FALSE,NA,0
88841,1022200,1,12,750,23.650818098720293,69,241,94,10145,FALSE,0.022730182438920304,1
88915,1022200,1,3,750,93.75,25,72,40,265,FALSE,NA,0
88922,1022200,1,6,750,44.64,47,177,69,3409,FALSE,0.5990611330417156,1
88935,1701100,1,6,750,44.99,25,54,32,254,FALSE,NA,0
88947,1022100,2,6,750,44.358695652173914,26,61,37,222,FALSE,NA,0
88949,1022100,2,6,750,36.920731707317074,26,65,38,211,FALSE,NA,0
88954,1022200,1,6,750,34.62,8,11,10,24,FALSE,NA,0
88980,1022200,2,6,1750,37.5,8,12,9,116,FALSE,NA,0
89000,1022200,1,6,750,91.5,22,55,30,199,FALSE,NA,0
89006,1022200,1,6,750,36.26,19,38,24,192,FALSE,NA,0
89029,1022200,1,6,750,42.84993920972644,44,152,63,2778,FALSE,0.1076816387495999,1
89030,1022200,1,6,750,38.27363423212192,47,209,70,3475,FALSE,0.15962338632241546,1
89099,1022200,1,6,750,35,63,219,86,2306,FALSE,0.13813080123759736,1
89121,1022200,1,12,750,21,92,463,136,28339,TRUE,0.20769230769230768,1
89123,1701100,1,6,1750,43.05,10,10,10,71,FALSE,NA,0
89136,1022200,2,6,750,37.49807453416149,56,154,76,1646,FALSE,-0.022938226821721967,0
89139,1022200,2,6,750,32.25,92,363,141,15804,FALSE,0.1112717379707671,1
89150,1022200,1,12,750,17.86708592777086,38,132,55,4155,FALSE,0.03999253174010456,1
89154,1022200,1,6,750,47.30664932362123,94,485,144,32669,TRUE,1.4173103595433694,1
89164,1022200,1,6,750,100.21200945626478,72,363,104,10956,FALSE,0.5686226394964259,1
89175,1022200,1,6,750,51.25391773992522,86,465,127,27001,TRUE,1.152773925104022,1
89177,1022200,2,6,750,41.75351669941061,65,333,93,13730,FALSE,2.679990397951563,1
